Date,GDP per capita (constant 2015 US$)
2018-Q4,53873.6
2019-Q1,53924.6
2019-Q2,54322.4
2019-Q3,54650.9
2019-Q4,55500.8
2020-Q1,56462.5
2020-Q2,52276.1
2020-Q3,56661.4
2020-Q4,56900.7
2021-Q1,58061.3
2021-Q2,58960.6
2021-Q3,60667.6
2021-Q4,62286.7
2022-Q1,62753.3
