,Price,GDP,netimport,EV,EG,carbon,crude,gas,temp,precip,wind
count,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0,1216.0
mean,31.572574013157972,52944.585307701636,-25.219323898429035,28.232312488494728,169.17637359191747,38.77758546709635,63.40213450766894,3.0153206035088504,8.078947368421044,1.5162206167950458,20.073593563816118
std,21.361478028796704,729.2203482214255,0.7857168530446612,12.296729044831274,5.3436711035609346,20.496392175171145,18.490605386683107,1.1825904489130281,7.386400642167365,0.8633450399941148,1.95425084525888
min,1.13,51541.65572897907,-26.16,8.029611130968203,163.79,14.334296962306038,19.057767986363167,1.4819999933242798,-11.7,0.0149661381016517,15.77921174140163
25%,15.625,52310.563637547966,-25.738155550056845,16.996162880659192,165.35628521662292,24.277546202170193,51.388898022137326,2.2620058216999905,2.8,0.8862029468556512,18.801319892686767
50%,30.994999999999997,53322.91075739076,-25.372927236494085,30.121629739627203,167.55333848680135,27.11967840168766,63.95000076293945,2.6600000858306885,6.8,1.352233855148943,19.921641421788994
75%,41.565,53490.0867955689,-25.024908694319553,40.14969539608935,170.97071790460427,53.32246592470882,72.11388314504381,3.6147500872612,14.1,2.1040077546056426,21.47983221586199
max,233.69,53692.52733681899,-21.671630182948302,43.82121248214818,184.3886072262585,97.51,127.9800033569336,8.131248033961027,26.1,4.222328785831047,24.381298391173758
