Variable:,pr
Country:,Sweden
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,22.76,17.61,21.17,30.81,38.54,57.38,72.39,89.60,69.37,56.31,73.42,31.63
1963,30.36,30.25,6.92,24.98,31.33,71.63,69.14,89.74,65.85,68.83,51.77,58.76
1964,57.51,30.57,33.63,34.12,27.44,57.18,94.40,59.14,85.97,37.84,44.22,61.51
1965,32.73,49.53,59.26,35.24,41.09,35.13,86.16,73.17,62.42,56.98,49.28,86.98
1966,44.80,44.15,46.14,31.33,59.86,43.34,62.68,96.57,61.89,102.24,57.55,56.18
1967,43.09,26.17,42.94,35.71,58.18,58.95,48.59,56.64,41.90,74.99,48.65,40.73
1968,47.30,27.80,21.67,42.03,51.56,20.16,59.71,61.20,65.54,37.05,67.98,26.34
1969,25.24,22.11,46.29,55.64,26.74,27.01,109.92,41.01,66.92,78.44,70.69,29.76
1970,49.40,38.60,35.52,27.50,32.85,44.70,73.65,69.47,50.92,54.55,65.38,47.67
1971,19.48,24.76,32.40,44.98,48.40,58.03,74.25,62.23,65.33,38.54,69.08,43.87
1972,38.24,43.83,29.12,52.99,49.18,44.99,91.33,55.77,57.70,32.68,54.31,59.70
1973,49.39,44.25,15.83,14.26,24.16,53.01,110.96,58.86,83.17,71.90,73.03,59.22
1974,63.69,22.87,25.00,29.14,54.97,37.29,46.23,58.26,90.81,43.59,39.56,60.80
1975,46.95,28.17,19.21,23.59,24.67,36.44,60.16,27.82,53.49,43.94,62.61,62.13
1976,72.33,30.88,45.72,58.90,37.09,63.25,99.02,48.33,48.67,51.07,68.04,45.44
1977,46.15,23.47,51.39,20.58,18.21,66.21,61.23,76.79,86.46,35.46,51.02,24.05
1978,34.50,26.10,42.48,39.07,58.71,46.58,97.90,91.19,59.75,44.84,77.49,52.05
1979,23.38,18.68,26.56,25.47,31.31,80.92,45.40,90.67,58.02,91.70,55.56,55.14
1980,50.76,29.42,56.04,20.17,27.70,99.09,92.94,65.40,37.15,86.85,77.82,46.97
1981,36.29,22.86,50.49,34.87,57.18,32.36,51.52,84.12,69.24,43.70,68.63,53.03
1982,59.46,19.09,45.91,42.51,59.79,49.57,62.92,43.03,124.61,69.45,40.50,62.01
1983,59.54,30.51,24.72,17.30,32.69,80.16,66.80,59.72,91.70,106.77,46.97,39.83
1984,45.78,26.01,43.29,43.60,33.81,64.01,93.39,98.84,92.17,57.31,57.55,64.50
1985,46.69,12.87,42.78,42.36,50.82,34.44,75.82,96.50,58.96,53.15,63.46,59.96
1986,30.31,41.03,34.54,19.48,57.06,105.02,75.14,95.06,67.93,48.98,59.47,45.02
1987,68.59,63.57,37.80,30.04,28.84,36.10,114.67,83.52,77.67,50.28,34.00,49.54
1988,46.53,57.14,50.54,46.63,46.57,43.95,58.39,83.43,37.76,48.99,44.41,48.89
1989,75.87,67.64,35.94,36.24,26.10,51.74,96.73,64.23,80.98,50.29,46.40,47.98
1990,53.49,19.94,42.71,18.72,43.75,109.79,48.30,56.94,69.75,44.58,64.80,38.80
1991,40.86,35.76,42.19,66.17,29.42,27.33,91.89,110.05,51.06,55.06,87.55,43.00
1992,54.50,31.26,25.88,17.69,41.08,66.49,120.64,104.28,36.95,70.86,26.56,78.73
1993,70.00,14.31,45.06,31.73,19.26,66.58,22.84,62.38,94.20,52.42,40.14,62.35
1994,58.65,50.55,55.63,51.89,59.72,71.78,66.98,52.43,58.19,55.42,43.94,17.20
1995,10.85,20.20,17.08,28.70,57.87,66.22,78.02,57.19,44.13,62.42,93.09,44.57
1996,31.55,54.68,35.68,33.71,50.58,58.47,65.56,48.71,60.36,48.87,57.12,52.94
1997,56.90,51.31,35.70,38.44,42.06,92.97,119.69,106.20,63.43,94.25,32.22,51.14
1998,55.82,48.19,45.36,57.34,34.96,81.66,69.53,61.45,60.10,58.28,47.93,75.38
1999,49.28,40.65,35.43,57.33,55.30,89.05,123.15,78.30,31.59,100.57,97.54,72.86
2000,45.55,38.58,29.92,51.77,43.59,53.32,101.28,109.42,96.79,72.27,43.56,39.09
2001,64.06,55.37,39.37,22.41,38.70,85.39,87.48,37.55,40.07,58.05,48.26,23.81
2002,50.82,19.63,21.48,35.77,62.38,54.27,73.89,70.39,47.44,43.45,51.16,58.44
2003,44.68,34.47,33.77,20.94,35.50,67.31,100.17,87.41,77.92,51.69,53.99,54.73
2004,60.10,32.34,23.43,22.84,61.65,65.49,89.05,92.52,44.11,44.58,60.16,49.35
2005,28.86,33.84,37.06,42.26,58.35,37.86,39.73,84.85,55.26,97.67,78.43,67.58
2006,75.59,32.48,35.12,22.44,60.15,61.43,103.00,71.82,71.02,38.17,65.20,57.85
2007,74.35,43.22,49.41,36.08,32.34,63.11,61.29,115.19,41.28,73.92,61.94,51.64
2008,33.98,40.96,31.01,20.96,50.57,61.38,116.96,82.25,57.61,59.25,71.11,42.47
2009,28.25,43.63,37.98,26.15,57.99,73.06,95.24,94.11,56.33,50.49,49.63,38.16
2010,48.29,34.58,30.17,23.18,57.96,74.34,76.17,98.95,82.88,55.99,34.97,78.97
2011,53.35,38.80,27.31,49.28,42.49,84.53,103.79,81.33,78.45,74.05,54.76,56.37
2012,35.48,27.87,14.99,34.48,39.69,77.03,65.84,65.83,55.03,61.59,51.41,69.24
2013,39.40,41.54,41.98,35.82,44.00,52.81,58.71,75.75,58.03,73.47,50.71,63.78
2014,62.14,36.20,44.93,31.14,67.67,69.32,82.40,59.18,85.98,34.26,71.94,58.05
2015,40.88,42.78,32.08,46.71,36.63,64.52,81.35,93.73,45.66,35.72,61.69,54.63
2016,46.94,35.41,41.48,41.62,33.40,59.33,72.33,93.04,59.84,78.16,66.54,61.47
2017,52.99,23.65,30.34,33.57,23.80,54.49,44.75,79.71,68.73,47.14,40.43,50.25
2018,43.27,48.70,56.27,16.45,59.32,69.36,55.01,78.12,80.10,61.43,60.68,65.22
2019,60.62,48.51,49.52,34.18,41.05,57.96,93.58,61.63,62.35,67.32,52.62,53.70
2020,,,,,,,,,,,,
