Date,Price,GDP,netimport,EV,EG,carbon,crude,gas,temp,precip,wind
2019-09-12,32.28,53297.832145403256,-26.04539884519186,14.405075857104245,167.96258332175714,26.55,60.380001068115234,2.5739998817443848,16.0,1.5108492436199272,20.642912680992204
2019-09-13,32.13,53292.786355147284,-26.042395238460013,14.453508034099768,167.95059478799126,26.57447899090309,60.220001220703125,2.614000082015991,15.0,1.478642785453701,20.67950506258615
2019-09-14,30.75,53287.68742642146,-26.039360000000002,14.502102766790166,167.93848,26.568755227055973,63.92489573745467,2.6491118799583915,12.7,1.4635787027586096,20.70540275852713
2019-09-15,23.55,53282.535840116885,-26.036293416071793,14.550859249560556,167.9262401003555,26.561153849680874,66.19920648183937,2.6749645689369532,13.3,1.4669999999999999,20.720000000000002
2019-09-16,29.84,53277.33207712471,-26.033195772935375,14.599776676796061,167.91387623162996,26.58,69.0199966430664,2.680999994277954,12.0,1.4805445779216857,20.722878631847774
2019-09-17,35.38,53272.076618336054,-26.03006735685073,14.648854242881791,167.90138953639558,26.75,64.55000305175781,2.6679999828338623,9.8,1.4949139393538537,20.714370953545917
2019-09-18,36.6,53266.769944642045,-26.02690845407784,14.698091142202864,167.88878115722449,26.199888439457204,63.59999847412109,2.63700008392334,8.9,1.510046491891422,20.69499687822802
2019-09-19,36.37,53261.41253693382,-26.023719350876696,14.747486569144401,167.87605223668888,25.56,64.4000015258789,2.5380001068115234,8.4,1.5258806431293064,20.66527631902769
2019-09-20,35.79,53256.00487610252,-26.02050033350728,14.797039718091511,167.86320391736095,25.57939863248995,64.27999877929688,2.5339999198913574,9.6,1.5423548006624233,20.625729189078527
2019-09-21,33.08,53250.54744303926,-26.017251688229564,14.84674978342932,167.85023734181283,25.798366777802013,63.995720821463,2.542391024820193,14.4,1.5594073720856894,20.57687540151413
2019-09-22,32.9,53245.040718635166,-26.01397370130354,14.89661595954294,167.8371536526167,25.990651534213068,64.07913920033948,2.5426517163819353,9.7,1.5769767649940212,20.519234869468082
2019-09-23,34.96,53239.485183781384,-26.010666658989194,14.946637440817488,167.8239539923448,25.93,64.7699966430664,2.5269999504089355,8.3,1.5950013869823354,20.453327506073997
2019-09-24,37.85,53233.88131936903,-26.00733084754651,14.996813421638082,167.81063950356926,25.59,63.09999847412109,2.503000020980835,10.6,1.6134196456455485,20.379673224465467
2019-09-25,36.9,53228.229606289235,-26.003966553235465,15.047143096389835,167.79721132886223,25.383186456400743,62.38999938964844,2.502000093460083,10.0,1.6321699485785772,20.298791937776095
2019-09-26,35.83,53222.53052543314,-26.00057406231604,15.09762565945787,167.7836706107959,25.21,62.7400016784668,2.427999973297119,9.1,1.6511907033763378,20.21120355913947
2019-09-27,33.75,53216.78455769187,-25.997153661048234,15.148260305227302,167.77001849194252,25.127040005620895,61.90999984741211,2.4040000438690186,9.8,1.670420317633747,20.117428001689195
2019-09-28,31.23,53210.99218395654,-25.993705635692013,15.199046228083246,167.75625611487413,25.134181511587688,61.27625053486756,2.386947735364427,12.6,1.6897971989457212,20.01798517855887
2019-09-29,30.99,53205.153885118314,-25.99023027250737,15.249982622410817,167.74238462216303,25.134232261760637,60.65662294338737,2.364310271012362,12.2,1.7092597549071775,19.913395002882083
2019-09-30,32.65,53199.270142068286,-25.98672785775429,15.301068682595137,167.7284051563813,25.03,60.77999877929688,2.3299999237060547,11.3,1.7287463931130316,19.80417738779245
2019-10-01,33.88,53193.341435697606,-25.98319867769275,15.352303603021317,167.71431886010123,24.4,60.75,2.282999992370605,7.4,1.7481955211582008,19.690852246423553
2019-10-02,34.66,53187.3682468974,-25.979643018582735,15.403686578074481,167.70012687589485,24.2054069184492,57.68999862670898,2.246999979019165,6.9,1.767545546637601,19.573939491908998
2019-10-03,35.65,53181.35105655879,-25.976061166684232,15.455216802139741,167.68583034633448,24.03,57.709999084472656,2.3289999961853027,5.7,1.7867348771461495,19.453959037382386
2019-10-04,36.82,53175.290345572925,-25.972453408257223,15.506893469602211,167.6714304139922,23.74189494485294,58.369998931884766,2.351999998092652,3.5,1.8057019202787623,19.3314307959773
2019-10-05,35.97,53169.18659483092,-25.96882002956169,15.558715774847016,167.65692822144018,23.38425661764706,58.36267262910174,2.344127171823974,3.2,1.8243850836303563,19.206874680827358
2019-10-06,35.52,53163.04028522391,-25.965161316857618,15.610682912259266,167.64232491125065,23.034489981617646,58.26591349782428,2.3198897197495,3.8,1.8427227747958477,19.08081060506614
2019-10-07,38.7,53156.85189764301,-25.96147755640499,15.662794076224083,167.62762162599577,22.77,58.34999847412109,2.302999973297119,4.7,1.8606534013701534,18.953758481827258
2019-10-08,37.23,53150.621912979375,-25.957769034463787,15.715048461126578,167.6128195082477,23.37,58.2400016784668,2.2880001068115234,5.2,1.87811537094819,18.8262382242443
2019-10-09,36.68,53144.350812124125,-25.954036037294,15.767445261351872,167.59791970057861,23.090810140534582,58.31999969482422,2.233999967575073,7.5,1.8950470911248738,18.698769745450864
2019-10-10,35.47,53138.03907596839,-25.950278851155606,15.819983671285083,167.58292334556072,22.83,59.09999847412109,2.2179999351501465,9.4,1.911386969495121,18.57187295858056
2019-10-11,32.97,53131.6871854033,-25.94649776230859,15.872662885311323,167.56783158576616,22.916885253798725,60.5099983215332,2.21399998664856,9.6,1.9270734136538492,18.446067776766977
2019-10-12,34.03,53125.29562131997,-25.942693057012935,15.925482097815715,167.5526455637671,23.06314137855098,58.84725848560624,2.217743927782343,10.7,1.942044831195974,18.321874113143707
2019-10-13,35.15,53118.86486460955,-25.93886502152862,15.978440503183371,167.5373664221358,23.340326814027748,59.042559606094365,2.233041184500689,10.4,1.9562396297164124,18.19981188084436
2019-10-14,36.96,53112.39539616317,-25.93501394211564,16.03153729579941,167.5219953034443,23.82,59.34999847412109,2.2799999713897705,8.2,1.9695962168100811,18.08040099300253
2019-10-15,43.06,53105.88769687195,-25.93114010503397,16.084771670048944,167.50653335026487,24.48,58.7400016784668,2.33899998664856,7.9,1.9820530000718954,17.96416136275181
2019-10-16,38.49,53099.34224762703,-25.927243796543596,16.1381428203171,167.49098170516967,25.264047513231787,59.41999816894531,2.302999973297119,9.3,1.993548387096774,17.851612903225806
2019-10-17,37.46,53092.75952931952,-25.923325302904498,16.19164994098898,167.47534151073089,25.96,59.90999984741211,2.318000078201294,7.6,2.0045090393157285,17.74319613289217
2019-10-18,37.19,53086.14002284057,-25.919384910376667,16.245292226449717,167.45961390952067,26.265288191466553,59.41999816894531,2.319999933242798,10.1,2.0154058136840214,17.63903399155479
2019-10-19,34.6,53079.4842090813,-25.91542290522008,16.299068871084422,167.44380004411119,26.25702637221269,60.1552495798766,2.291892464081437,11.0,2.0262434110829424,17.539170024351623
2019-10-20,34.55,53072.792568932855,-25.91143957369472,16.352979069278206,167.42790105707462,26.08525136685249,60.302056002117354,2.243821901972342,10.0,2.037026532393783,17.44364777642062
2019-10-21,41.56,53066.06558328634,-25.907435202060576,16.40702201541619,167.41191809098316,25.9,58.959999084472656,2.23799991607666,7.4,2.0477598784978333,17.35251079289972
2019-10-22,33.0,53059.30373303291,-25.90341007657763,16.461196903883494,167.395852288409,25.7,59.70000076293945,2.2720000743865967,10.3,2.058448150276383,17.265802618926884
2019-10-23,34.72,53052.50749906368,-25.899364483505863,16.51550292906523,167.37970479192427,25.173588213695613,61.16999816894531,2.282000064849853,10.6,2.0690960486107235,17.183566799640058
2019-10-24,36.96,53045.67736226977,-25.89529870910526,16.569939285346518,167.36347674410115,24.61,61.66999816894531,2.315999984741211,9.7,2.0797082743821447,17.10584688017719
2019-10-25,33.81,53038.81380354234,-25.8912130396358,16.62450516711247,167.34716928751183,24.341763677993804,62.02000045776367,2.299999952316284,11.5,2.0902895284719376,17.032686405676234
2019-10-26,29.04,53031.917303772505,-25.887107761357473,16.679199768748212,167.3307835647285,24.260273944817214,60.92862024180536,2.303552376523322,6.1,2.100844511761392,16.964128921275133
2019-10-27,35.58,53024.988343851386,-25.882983160530262,16.73402228463885,167.31432071832333,24.371147239232013,61.004787296451255,2.344782864853583,4.3,2.111377925131798,16.900217972111847
2019-10-28,39.47,53018.02740467012,-25.878839523414147,16.78897190916951,167.29778189086852,24.68,61.56999969482422,2.446000099182129,2.1,2.121894469464446,16.840997103324316
2019-10-29,39.66,53011.03496711985,-25.87467713626911,16.844047836725306,167.28116822493615,25.4,61.59000015258789,2.5969998836517334,2.7,2.132398845640628,16.7865098600505
2019-10-30,39.6,53004.01151209168,-25.87049628535514,16.89924926169135,167.26448086309853,25.76039548907637,60.61000061035156,2.690999984741211,2.0,2.142895754541633,16.736799787428343
2019-10-31,38.75,52996.95752047676,-25.866297256932217,16.954575378452766,167.2477209479277,25.95,60.22999954223633,2.632999897003174,3.5,2.1533898970487515,16.69191043059579
2019-11-01,37.43,52989.87347316621,-25.862080337260323,17.010025381394666,167.23088962199594,25.853279614287064,60.209999084472656,2.71399998664856,3.3,2.163885974043274,16.651885334690803
2019-11-02,35.06,52982.75985105117,-25.85784581259945,17.06559846490217,167.2139880278754,25.48230190136848,61.45932793714868,2.775070502432376,5.9,2.174388686406492,16.616768044851323
