region,category,parameter,mode,powertrain,year,unit,value
Chile,Historical,EV sales,Cars,PHEV,2014,sales,14
Chile,Historical,EV sales,Cars,PHEV,2015,sales,23
Chile,Historical,EV sales,Cars,BEV,2015,sales,13
Chile,Historical,EV sales,Cars,BEV,2016,sales,22
Chile,Historical,EV sales,Cars,PHEV,2016,sales,9
Chile,Historical,EV sales,Cars,PHEV,2017,sales,15
Chile,Historical,EV sales,Cars,BEV,2017,sales,118
Chile,Historical,EV sales,Cars,BEV,2018,sales,109
Chile,Historical,EV sales,Cars,PHEV,2018,sales,68
Chile,Historical,EV sales,Cars,PHEV,2019,sales,137
Chile,Historical,EV sales,Cars,BEV,2019,sales,161
Chile,Historical,EV sales,Cars,BEV,2020,sales,112
Chile,Historical,EV sales,Cars,PHEV,2020,sales,79
Chile,Historical,EV sales,Cars,PHEV,2021,sales,300
Chile,Historical,EV sales,Cars,BEV,2021,sales,266
China,Historical,EV sales,Cars,BEV,2010,sales,1090
China,Historical,EV sales,Cars,PHEV,2010,sales,340
China,Historical,EV sales,Cars,PHEV,2011,sales,320
China,Historical,EV sales,Cars,BEV,2011,sales,4750
China,Historical,EV sales,Cars,BEV,2012,sales,9640
China,Historical,EV sales,Cars,PHEV,2012,sales,260
China,Historical,EV sales,Cars,PHEV,2013,sales,730
China,Historical,EV sales,Cars,BEV,2013,sales,14610
China,Historical,EV sales,Cars,BEV,2014,sales,48906.33203125
China,Historical,EV sales,Cars,PHEV,2014,sales,24265.19921875
China,Historical,EV sales,Cars,PHEV,2015,sales,60663
China,Historical,EV sales,Cars,BEV,2015,sales,146719
China,Historical,EV sales,Cars,BEV,2016,sales,257000
China,Historical,EV sales,Cars,PHEV,2016,sales,79000
China,Historical,EV sales,Cars,PHEV,2017,sales,111000
China,Historical,EV sales,Cars,BEV,2017,sales,468000
China,Historical,EV sales,Cars,BEV,2018,sales,815870
China,Historical,EV sales,Cars,PHEV,2018,sales,265219
China,Historical,EV sales,Cars,PHEV,2019,sales,226106
China,Historical,EV sales,Cars,BEV,2019,sales,834197
China,Historical,EV sales,Cars,BEV,2020,sales,931291
China,Historical,EV sales,Cars,PHEV,2020,sales,228291
China,Historical,EV sales,Cars,PHEV,2021,sales,600148
China,Historical,EV sales,Cars,BEV,2021,sales,2734013
Denmark,Historical,EV sales,Cars,BEV,2010,sales,28
Denmark,Historical,EV sales,Cars,PHEV,2010,sales,20
Denmark,Historical,EV sales,Cars,BEV,2011,sales,422
Denmark,Historical,EV sales,Cars,BEV,2012,sales,486
Denmark,Historical,EV sales,Cars,PHEV,2012,sales,12
Denmark,Historical,EV sales,Cars,PHEV,2013,sales,10
Denmark,Historical,EV sales,Cars,BEV,2013,sales,495
Denmark,Historical,EV sales,Cars,BEV,2014,sales,1508
Denmark,Historical,EV sales,Cars,PHEV,2014,sales,90
Denmark,Historical,EV sales,Cars,PHEV,2015,sales,417
Denmark,Historical,EV sales,Cars,BEV,2015,sales,4239
