region,category,parameter,mode,powertrain,year,unit,value
Poland,Historical,EV sales,Cars,PHEV,2018,sales,951
Poland,Historical,EV sales,Cars,PHEV,2019,sales,1797
Poland,Historical,EV sales,Cars,BEV,2019,sales,2326
Poland,Historical,EV sales,Cars,BEV,2020,sales,4832
Poland,Historical,EV sales,Cars,PHEV,2020,sales,5217
Poland,Historical,EV sales,Cars,PHEV,2021,sales,8904
Poland,Historical,EV sales,Cars,BEV,2021,sales,8938
Portugal,Historical,EV sales,Cars,BEV,2010,sales,719
Portugal,Historical,EV sales,Cars,BEV,2011,sales,189
Portugal,Historical,EV sales,Cars,BEV,2012,sales,52
Portugal,Historical,EV sales,Cars,BEV,2013,sales,141
Portugal,Historical,EV sales,Cars,PHEV,2013,sales,37
Portugal,Historical,EV sales,Cars,PHEV,2014,sales,9
Portugal,Historical,EV sales,Cars,BEV,2014,sales,193
Portugal,Historical,EV sales,Cars,BEV,2015,sales,673
Portugal,Historical,EV sales,Cars,PHEV,2015,sales,442
Portugal,Historical,EV sales,Cars,PHEV,2016,sales,1027
Portugal,Historical,EV sales,Cars,BEV,2016,sales,812
Portugal,Historical,EV sales,Cars,BEV,2017,sales,1893
Portugal,Historical,EV sales,Cars,PHEV,2017,sales,2501
Portugal,Historical,EV sales,Cars,PHEV,2018,sales,3908
Portugal,Historical,EV sales,Cars,BEV,2018,sales,4429
Portugal,Historical,EV sales,Cars,BEV,2019,sales,6883
Portugal,Historical,EV sales,Cars,PHEV,2019,sales,5798
Portugal,Historical,EV sales,Cars,PHEV,2020,sales,11858
Portugal,Historical,EV sales,Cars,BEV,2020,sales,8137
Portugal,Historical,EV sales,Cars,BEV,2021,sales,13451
Portugal,Historical,EV sales,Cars,PHEV,2021,sales,15731
South Africa,Historical,EV sales,Cars,BEV,2013,sales,34
South Africa,Historical,EV sales,Cars,BEV,2014,sales,14
South Africa,Historical,EV sales,Cars,PHEV,2014,sales,1
South Africa,Historical,EV sales,Cars,PHEV,2015,sales,124
South Africa,Historical,EV sales,Cars,BEV,2015,sales,117
South Africa,Historical,EV sales,Cars,BEV,2016,sales,100
South Africa,Historical,EV sales,Cars,PHEV,2016,sales,277
South Africa,Historical,EV sales,Cars,PHEV,2017,sales,127
South Africa,Historical,EV sales,Cars,BEV,2017,sales,68
South Africa,Historical,EV sales,Cars,BEV,2018,sales,66
South Africa,Historical,EV sales,Cars,PHEV,2018,sales,82
South Africa,Historical,EV sales,Cars,PHEV,2019,sales,72
South Africa,Historical,EV sales,Cars,BEV,2019,sales,156
South Africa,Historical,EV sales,Cars,BEV,2020,sales,92
South Africa,Historical,EV sales,Cars,PHEV,2020,sales,149
South Africa,Historical,EV sales,Cars,PHEV,2021,sales,51
South Africa,Historical,EV sales,Cars,BEV,2021,sales,218
Spain,Historical,EV sales,Cars,BEV,2010,sales,76
Spain,Historical,EV sales,Cars,BEV,2011,sales,386
Spain,Historical,EV sales,Cars,PHEV,2011,sales,8
Spain,Historical,EV sales,Cars,PHEV,2012,sales,107
Spain,Historical,EV sales,Cars,BEV,2012,sales,427
Spain,Historical,EV sales,Cars,BEV,2013,sales,811
Spain,Historical,EV sales,Cars,PHEV,2013,sales,72
Spain,Historical,EV sales,Cars,PHEV,2014,sales,329
Spain,Historical,EV sales,Cars,BEV,2014,sales,1405
Spain,Historical,EV sales,Cars,BEV,2015,sales,1342
Spain,Historical,EV sales,Cars,PHEV,2015,sales,785
Spain,Historical,EV sales,Cars,PHEV,2016,sales,1511
Spain,Historical,EV sales,Cars,BEV,2016,sales,2005
Spain,Historical,EV sales,Cars,BEV,2017,sales,3920
Spain,Historical,EV sales,Cars,PHEV,2017,sales,3528
Spain,Historical,EV sales,Cars,BEV,2018,sales,6003
Spain,Historical,EV sales,Cars,PHEV,2018,sales,5636
Spain,Historical,EV sales,Cars,PHEV,2019,sales,7432
Spain,Historical,EV sales,Cars,BEV,2019,sales,10044
Spain,Historical,EV sales,Cars,BEV,2020,sales,18314
Spain,Historical,EV sales,Cars,PHEV,2020,sales,23759
Spain,Historical,EV sales,Cars,PHEV,2021,sales,43015
Spain,Historical,EV sales,Cars,BEV,2021,sales,24706
Sweden,Historical,EV sales,Cars,BEV,2010,sales,4
Sweden,Historical,EV sales,Cars,BEV,2011,sales,178
Sweden,Historical,EV sales,Cars,BEV,2012,sales,266
Sweden,Historical,EV sales,Cars,PHEV,2012,sales,662
Sweden,Historical,EV sales,Cars,PHEV,2013,sales,1115
Sweden,Historical,EV sales,Cars,BEV,2013,sales,432
Sweden,Historical,EV sales,Cars,BEV,2014,sales,1239
Sweden,Historical,EV sales,Cars,PHEV,2014,sales,3428
Sweden,Historical,EV sales,Cars,PHEV,2015,sales,5625
Sweden,Historical,EV sales,Cars,BEV,2015,sales,2962
Sweden,Historical,EV sales,Cars,BEV,2016,sales,2951.300048828125
Sweden,Historical,EV sales,Cars,PHEV,2016,sales,10463.7001953125
Sweden,Historical,EV sales,Cars,PHEV,2017,sales,15986
Sweden,Historical,EV sales,Cars,BEV,2017,sales,4359
Sweden,Historical,EV sales,Cars,BEV,2018,sales,7147
Sweden,Historical,EV sales,Cars,PHEV,2018,sales,21811
Sweden,Historical,EV sales,Cars,PHEV,2019,sales,24907
Sweden,Historical,EV sales,Cars,BEV,2019,sales,15795
Sweden,Historical,EV sales,Cars,BEV,2020,sales,28097
Sweden,Historical,EV sales,Cars,PHEV,2020,sales,66134
Sweden,Historical,EV sales,Cars,PHEV,2021,sales,78200
Sweden,Historical,EV sales,Cars,BEV,2021,sales,57881
Switzerland,Historical,EV sales,Cars,BEV,2010,sales,137
Switzerland,Historical,EV sales,Cars,BEV,2011,sales,395
Switzerland,Historical,EV sales,Cars,PHEV,2011,sales,41
Switzerland,Historical,EV sales,Cars,PHEV,2012,sales,395
Switzerland,Historical,EV sales,Cars,BEV,2012,sales,342
Switzerland,Historical,EV sales,Cars,BEV,2013,sales,1156
Switzerland,Historical,EV sales,Cars,PHEV,2013,sales,167
Switzerland,Historical,EV sales,Cars,PHEV,2014,sales,204
Switzerland,Historical,EV sales,Cars,BEV,2014,sales,2688
Switzerland,Historical,EV sales,Cars,BEV,2015,sales,3257
Switzerland,Historical,EV sales,Cars,PHEV,2015,sales,2369
Switzerland,Historical,EV sales,Cars,PHEV,2016,sales,2829
Switzerland,Historical,EV sales,Cars,BEV,2016,sales,3295
Switzerland,Historical,EV sales,Cars,BEV,2017,sales,4775
Switzerland,Historical,EV sales,Cars,PHEV,2017,sales,3648
Switzerland,Historical,EV sales,Cars,PHEV,2018,sales,4359
Switzerland,Historical,EV sales,Cars,BEV,2018,sales,5138
Switzerland,Historical,EV sales,Cars,BEV,2019,sales,13190
Switzerland,Historical,EV sales,Cars,PHEV,2019,sales,4284
Switzerland,Historical,EV sales,Cars,PHEV,2020,sales,14385
Switzerland,Historical,EV sales,Cars,BEV,2020,sales,19311
Switzerland,Historical,EV sales,Cars,BEV,2021,sales,31676
Switzerland,Historical,EV sales,Cars,PHEV,2021,sales,21813
United Kingdom,Historical,EV sales,Cars,BEV,2010,sales,255
United Kingdom,Historical,EV sales,Cars,PHEV,2010,sales,21
United Kingdom,Historical,EV sales,Cars,PHEV,2011,sales,7
United Kingdom,Historical,EV sales,Cars,BEV,2011,sales,1211
United Kingdom,Historical,EV sales,Cars,BEV,2012,sales,1705
United Kingdom,Historical,EV sales,Cars,PHEV,2012,sales,988
United Kingdom,Historical,EV sales,Cars,PHEV,2013,sales,1073
United Kingdom,Historical,EV sales,Cars,BEV,2013,sales,2679
United Kingdom,Historical,EV sales,Cars,BEV,2014,sales,6812
United Kingdom,Historical,EV sales,Cars,PHEV,2014,sales,7931
United Kingdom,Historical,EV sales,Cars,PHEV,2015,sales,19241
United Kingdom,Historical,EV sales,Cars,BEV,2015,sales,10095
United Kingdom,Historical,EV sales,Cars,BEV,2016,sales,10509
United Kingdom,Historical,EV sales,Cars,PHEV,2016,sales,27403
United Kingdom,Historical,EV sales,Cars,PHEV,2017,sales,33701
United Kingdom,Historical,EV sales,Cars,BEV,2017,sales,13550.599609375
United Kingdom,Historical,EV sales,Cars,BEV,2018,sales,15743.060546875
United Kingdom,Historical,EV sales,Cars,PHEV,2018,sales,34619
United Kingdom,Historical,EV sales,Cars,PHEV,2019,sales,36630
United Kingdom,Historical,EV sales,Cars,BEV,2019,sales,37972
United Kingdom,Historical,EV sales,Cars,BEV,2020,sales,107575
United Kingdom,Historical,EV sales,Cars,PHEV,2020,sales,67461
United Kingdom,Historical,EV sales,Cars,PHEV,2021,sales,120169
United Kingdom,Historical,EV sales,Cars,BEV,2021,sales,192107
USA,Historical,EV sales,Cars,BEV,2010,sales,1191
USA,Historical,EV sales,Cars,BEV,2011,sales,9750
USA,Historical,EV sales,Cars,PHEV,2011,sales,7980
USA,Historical,EV sales,Cars,PHEV,2012,sales,38590
USA,Historical,EV sales,Cars,BEV,2012,sales,14650
USA,Historical,EV sales,Cars,BEV,2013,sales,47690
USA,Historical,EV sales,Cars,PHEV,2013,sales,49010
USA,Historical,EV sales,Cars,PHEV,2014,sales,55360
USA,Historical,EV sales,Cars,BEV,2014,sales,63420
USA,Historical,EV sales,Cars,BEV,2015,sales,71044
USA,Historical,EV sales,Cars,PHEV,2015,sales,42825
USA,Historical,EV sales,Cars,PHEV,2016,sales,72885
USA,Historical,EV sales,Cars,BEV,2016,sales,86731
USA,Historical,EV sales,Cars,BEV,2017,sales,104487
USA,Historical,EV sales,Cars,PHEV,2017,sales,93862
USA,Historical,EV sales,Cars,PHEV,2018,sales,122492
USA,Historical,EV sales,Cars,BEV,2018,sales,238823
USA,Historical,EV sales,Cars,BEV,2019,sales,241912
USA,Historical,EV sales,Cars,PHEV,2019,sales,84732
USA,Historical,EV sales,Cars,PHEV,2020,sales,64311
USA,Historical,EV sales,Cars,BEV,2020,sales,231088
USA,Historical,EV sales,Cars,BEV,2021,sales,466328
USA,Historical,EV sales,Cars,PHEV,2021,sales,164824
World,Historical,EV sales,Cars,BEV,2010,sales,7361
World,Historical,EV sales,Cars,PHEV,2010,sales,382
World,Historical,EV sales,Cars,BEV,2011,sales,40161
World,Historical,EV sales,Cars,PHEV,2011,sales,9062.16015625
World,Historical,EV sales,Cars,BEV,2012,sales,59160.6015625
World,Historical,EV sales,Cars,PHEV,2012,sales,60726.3984375
World,Historical,EV sales,Cars,BEV,2013,sales,113364.6015625
World,Historical,EV sales,Cars,PHEV,2013,sales,91649.3984375
World,Historical,EV sales,Cars,BEV,2014,sales,193677.328125
World,Historical,EV sales,Cars,PHEV,2014,sales,134365.203125
World,Historical,EV sales,Cars,BEV,2015,sales,328733
World,Historical,EV sales,Cars,PHEV,2015,sales,223258
World,Historical,EV sales,Cars,BEV,2016,sales,465670.125
World,Historical,EV sales,Cars,PHEV,2016,sales,288004.875
World,Historical,EV sales,Cars,BEV,2017,sales,759473.125
World,Historical,EV sales,Cars,PHEV,2017,sales,417137.15625
World,Historical,EV sales,Cars,BEV,2018,sales,1371906
World,Historical,EV sales,Cars,PHEV,2018,sales,642786
World,Historical,EV sales,Cars,BEV,2019,sales,1545057
World,Historical,EV sales,Cars,PHEV,2019,sales,578290
World,Historical,EV sales,Cars,BEV,2020,sales,2015333
World,Historical,EV sales,Cars,PHEV,2020,sales,977954
World,Historical,EV sales,Cars,BEV,2021,sales,4651074
World,Historical,EV sales,Cars,PHEV,2021,sales,1920575
