name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sweden,2021-01-01,3.7,2.1,2.7,3.7,0,2,1.4,91.5,5.07,100,54.17,rain,,,15.2,9.4,123.1,1009.3,11.8,6.1,4.2,0.3,0,,2021-01-01T08:44:00,2021-01-01T14:59:03,0.53,Rain,Clear conditions throughout the day with rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
sweden,2021-01-02,2.6,0.6,1.5,2,-2,0.2,0.9,95.6,7.11,100,62.5,"rain,snow",,,18.8,12.6,154.6,1015.9,10.2,13.1,6.4,0.5,0,,2021-01-02T08:43:30,2021-01-02T15:00:30,0.56,"Snow, Rain",Clear conditions throughout the day with a chance of rain or snow throughout the day.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
sweden,2021-01-03,0.4,-1.1,-0.3,-2.2,-5.6,-3.7,-2.2,87.1,0.02,100,4.17,"rain,snow",,,32.4,14.1,312.5,1026.8,12.1,30.2,6.3,0.6,0,,2021-01-03T08:42:56,2021-01-03T15:02:01,0.6,"Snow, Rain",Clear conditions throughout the day with early morning snow or rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
sweden,2021-01-04,0.8,-0.9,0.3,-1.4,-4.6,-3.1,-1.2,90.2,0.08,100,8.33,"rain,snow",,,25.2,14.2,118.4,1029.1,11.4,24.6,3.9,0.3,0,,2021-01-04T08:42:17,2021-01-04T15:03:36,0.65,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,E4931,ESSB"
sweden,2021-01-05,0.7,-1.9,-0.4,-1.9,-5.9,-3.9,-2.3,87.1,0.17,100,20.83,"rain,snow",,,27.9,14.9,18.4,1029.8,18.6,30,5.6,0.5,0,,2021-01-05T08:41:33,2021-01-05T15:05:15,0.7,"Snow, Rain",Clear conditions throughout the day with rain or snow clearing later.,rain,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02443099999,E4931,02567099999,02458099999,ESSB"
sweden,2021-01-06,-0.3,-3,-1.6,-4.5,-7,-5.7,-3.9,84.6,0.39,100,33.33,"rain,snow",,,32.4,15.3,16.1,1023.6,9,28.2,4.2,0.2,0,,2021-01-06T08:40:44,2021-01-06T15:06:57,0.76,"Snow, Rain",Clear conditions throughout the day with rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
sweden,2021-01-07,0.3,-0.6,0,-1.3,-5.1,-3.5,-0.8,94.2,2.91,100,91.67,"rain,snow",,,30.7,15.8,16.8,1014.9,11.7,13.3,3.1,0.3,0,,2021-01-07T08:39:50,2021-01-07T15:08:44,0.82,"Snow, Rain",Clear conditions throughout the day with a chance of rain or snow throughout the day.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
sweden,2021-01-08,1.1,0.1,0.6,-0.9,-3.1,-2.2,0.1,96.5,0.65,100,45.83,"rain,snow",,,20.8,10.8,19.8,1016,18.9,15.4,5.7,0.4,0,,2021-01-08T08:38:53,2021-01-08T15:10:34,0.87,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"02486099999,02464099999,02490099999,02469099999,02489099999,02484099999,02443099999,E4931,02567099999,02458099999,ESSB"
sweden,2021-01-09,0.1,-1.9,-0.5,-0.1,-2.9,-1.7,-1.8,91.5,0.06,100,12.5,"rain,snow",,,18,9.2,139.2,1020.5,10.6,13.2,5.7,0.5,0,,2021-01-09T08:37:50,2021-01-09T15:12:27,0.92,"Snow, Rain",Clear conditions throughout the day with early morning snow or rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
sweden,2021-01-10,0.3,-1.6,-0.7,-2.3,-6.1,-4.4,-2,90.5,1.72,100,25,"rain,snow",,,28.8,16.9,212.3,1013.1,12.1,24.3,6.9,0.5,1,,2021-01-10T08:36:44,2021-01-10T15:14:24,0.96,"Snow, Rain",Clear conditions throughout the day with rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
